,Name,OnDisk,NbReplicas
4258,/LHCb/Collision10/Beam3500GeV-VeloClosed-MagDown/RealData/Reco08-MINBIAS-FIRST-14-NB/Stripping12d/90000000/MINIBIAS.DST,1,3.0
1511,/LHCb/Collision10/Beam3500GeV-VeloClosed-MagDown/RealData/Reco08/Stripping14/90000000/BHADRON.DST,0,1.0
5018,/LHCb/Collision10/Beam3500GeV-VeloClosed-MagDown/RealData/Reco08/Stripping14/90000000/CALIBRATION.DST,0,1.0
3693,/LHCb/Collision10/Beam3500GeV-VeloClosed-MagDown/RealData/Reco08/Stripping14/90000000/CHARM.MDST,0,1.0
3678,/LHCb/Collision10/Beam3500GeV-VeloClosed-MagDown/RealData/Reco08/Stripping14/90000000/CHARMCOMPLETEEVENT.DST,1,1.0
4527,/LHCb/Collision10/Beam3500GeV-VeloClosed-MagDown/RealData/Reco08/Stripping14/90000000/DIMUON.DST,0,1.0
1550,/LHCb/Collision10/Beam3500GeV-VeloClosed-MagDown/RealData/Reco08/Stripping14/90000000/EW.DST,0,1.0
4551,/LHCb/Collision10/Beam3500GeV-VeloClosed-MagDown/RealData/Reco08/Stripping14/90000000/SEMILEPTONIC.DST,0,1.0
2672,/LHCb/Collision10/Beam3500GeV-VeloClosed-MagDown/RealData/Reco14b-First14nb/90000000/FULL.DST,1,4.0
4652,/LHCb/Collision10/Beam3500GeV-VeloClosed-MagUp/RealData/Reco08-MINBIAS-FIRST-14-NB/Stripping12d/90000000/MINIBIAS.DST,1,4.0
2950,/LHCb/Collision10/Beam3500GeV-VeloClosed-MagUp/RealData/Reco08/Stripping14/90000000/BHADRON.DST,0,1.0
4687,/LHCb/Collision10/Beam3500GeV-VeloClosed-MagUp/RealData/Reco08/Stripping14/90000000/CALIBRATION.DST,0,1.0
4889,/LHCb/Collision10/Beam3500GeV-VeloClosed-MagUp/RealData/Reco08/Stripping14/90000000/CHARM.MDST,0,1.0
2802,/LHCb/Collision10/Beam3500GeV-VeloClosed-MagUp/RealData/Reco08/Stripping14/90000000/CHARMCOMPLETEEVENT.DST,1,1.0
2606,/LHCb/Collision10/Beam3500GeV-VeloClosed-MagUp/RealData/Reco08/Stripping14/90000000/DIMUON.DST,0,1.0
3681,/LHCb/Collision10/Beam3500GeV-VeloClosed-MagUp/RealData/Reco08/Stripping14/90000000/EW.DST,0,1.0
3408,/LHCb/Collision10/Beam3500GeV-VeloClosed-MagUp/RealData/Reco08/Stripping14/90000000/SEMILEPTONIC.DST,0,1.0
4941,/LHCb/Collision10/Beam3500GeV-VeloClosed-MagUp/RealData/Reco14b-First14nb/90000000/FULL.DST,1,4.0
540,/LHCb/Collision11/Beam1380GeV-VeloOpen-MagDown/RealData/Reco10/Stripping1Point4TeV/90000000/ALLSTREAMS.DST,0,1.0
2878,/LHCb/Collision11/Beam1380GeV-VeloOpen-MagUp/RealData/Reco10/Stripping1Point4TeV/90000000/ALLSTREAMS.DST,0,1.0
233,/LHCb/Collision11/Beam3500GeV-VeloClosed-MagDown/RealData/Merging/91000000/RAW,0,1.0
